project_id,title,completion_year,supervisors
BPH000201,PREVALENCE AND MANAGEMENT OF HELMINTHIASES AMONG HIV/AIDS UNDERFIVES AT AMANA HOSPITAL 2004-2006,2008,MWAMBETE
BPH000202,IN VITRO DETERMINATION OF ANTIMICROBIAL ACTIVITY OF PLANT EXTRACT USING DISC DIFUSSION METHOD.,2008,MWAMBETE
BPH000203,ASSESSMENT OF AVAILABILITY AND QUALITY OF ARV MEDICINES FROM PRE-QUALIFIED MANUFACTURERS AT CARE AND TREATMENT CENTRES IN DSM.,2008,MUGOYELA
BPH000204,ASSESSMENT OF PUBLIC OPINIONS REGARDING THE USE OF OVER THE COUNTER MEDICINES IN DSM.,2008,TEMU
BPH000205,THE PREVALENCE AND MANAGEMENT OF HELMINTHIASIS AMONG HIV/AIDS HOSPITALIZED PATIENTS IN MNH.,2008,TEMU
BPH000206,ASSESSMENT OF HIV PATIENTSï¾’ SATISFACTION WITH HEALTH CARE SERVICES PROVIDED AT THE HIV CLINIC.,2008,KAGASHE
BPH000207,QUALIFICATION OF HP 1050 HPLC UNDER cGMP GUIDELINES,2008,KAALE; RISHA
BPH000208,ASSESSMENT OF THE SUPPLY PATTERN OF MEDICINE IN TANZANIA,2008,CHAMBUSO
BPH000209,PATTERNS OF POISONING CASES AT MNH.,2008,"KAALE, RISHA , NGASSAPA, MWAMBETE, AMANI; MLAVWASI."
BPH000210,ASSESSMENT OF ANTI-MICROBIAL ACTIVITY OF MEDICATED SOAPS COMMONLY USED BY DAM RESIDENTS.,2008,MWAMBETE
BPH000211,INVESTIGATION OF THE QUALITY OF ARTEMETHER-LUMEFANTRINE (Alu) TABLETS DISTRIBUTED IN DSM.,2008,HAULE
BPH000212,"MICROBIOLOGICAL PROFILES OF NON-STERILE PHARMACEUTICALS DELIVERED TO OUTPATIENTS AT AMANA MUNICIPAL HOSPITAL, DSM.",2008,MUGOYELA; MWAMBETE
BPH000213,ASSESSMENT OF KNOWLEDGE OF THE COMMUNITY ON ADVERSE EFFECTS OF NON-STEROIDAL ANTIINFLAMMATORY DRUGS IN ILALA MUNICIPAL.,2008,TEMU
BPH000214,FORMULATION OF TROPICAL PHARMACEUTICAL PRODUCTS FROM TEA TREE OIL.,2008,MBWAMBO; MOSHI
BPH000215,Qualification of Varian Prostar HPLC equipment under GMP guidelines,2008,
BPH000216,Antimicrobial Activity of Isoglossa lactae leaf Extract,2008,
BPH000217,ASSESSMENT OF THE LIMITING FACTORS IN ACCEPTABILITY AND TOLERABILITY TO ARCS AMONG HIV/AIDS PATIENTS AT SINZA HEALTH CENTRE CTC IN KINONDONI DISTRICT,2008,MUGOYELA
BPH000218,"DEVELOPMENT OF CAPSULES FROM MORIZELLA, AN AQUEOUS EXTRACT OF HIBISCUSS SABDARIFFA CALYCES & MORINGA OLEIFERA LEAVES.",2008,MOSHI; KAALE
BPH000219,Assessment of Knowledge on Drug-Drug interactions among Dispensers in Retail Pharmacies in Dar es Salaam.,2008,
BPH000220,Public Opinion Regarding the Use of Over-The-Counter medicines in General,2008,
BPH000221,Assessment of Quality of Pharmaceutical Outlets in Private Hospitals in Dar Es Salaam,2008,
BPH000222,Societal Perception of Artemether ï¾– Lumefantrine as Firstï¾–line Antimalaria medicine in Tanzania,2008,
BPH000223,Evaluation of efficacy of medicated Soaps Commonly used in Tanzania,2008,
BPH000224,"To Assess Career Plans and Perception of Students, Interns and Practicing Pharmacists in Tanzania",2008,
BPH000225,ANTICONVULSANT AND ANTIMICROBIAL SCREENING OF HYDROETHANOLIC EXTRACTS OF PLANTS USED IN TRADITIONAL MEDICINE,2008,MOSHI
BPH000226,Assessment of Dispensing Practice of ALu in Public Health Facilities and Private Pharmacies in Dar es Salaam,2008,
BPH000227,Assessment of drug Use Pattern at MNH,2008,
BPH000228,Prevalence of Cosmetic Usage (Creams and Lotions) for Beautification Purpose among Ilala Residents,2008,
BPH000229,Assessment of Limiting Factors in Acceptability and Tolerability of ARVs among HIV/AIDS patients at Sinza Health CTC Health centre in Kinondoni District.,2008,
BPH000230,EVALUATION OF THE PREVALENCE OF INSULIN DEPENDENT DIABETES MELLITUS IN PATIENTS ON ARV IN MNH.,2008,KABATI
BPH000231,"ASSESSMENT OF KNOWLEDGE, ATTITUDE AND BELIEF TOWARD PSYCHOTROPIC MEDICATION USE AMONGST PATIENTS IN DAM ï¿½ TANZANIA.",2008,HAULE; FRANK MASAO
BPH000232,ASSESSMENT OF KNOWLEDGE OF HIV/AIDS AMONG WOMEN HAIRDRESSERS AND THEIR WILLINGNESS TO TEST FOR HIV/AIDS IN ILALA MUNICIPAL DSM 2008,2008,MUGOYELA
BPH000233,"BIOLOGICAL TEST, TOXICITY TEST AND CHEMICAL CHARACTERIZATION OF ACTIVE PHYTOCONSTITUENTS FROM MIMUSOPS FRUTICOSA ROOT",2008,KAMUHABWA; MBWAMBO
BPH000234,Acceptability and Availability of Medicines for Opportunistic Infections in Some Care and Treatment Clinics in Dar es salaam Catchment area.,2008,
BPH000235,Qualification of CAMAG HPLC System and analytical Balance under cGMP Guidelines,2008,
BPH000236,"Assessment of the Medical Pharmaceutical Malpractice in Malaria Treatment in Different Healthcare Facilities including Pharmacies, Dispensaries and Hospitals in Dar es Salaam",2008,
BPH000237,ASSESSMENT OF PREVALENCE OF NAUSEA AMONG PREGNANT WOMEN IN DSM,2009,MWAMBETE
BPH000238,DEVELOPMENT AND VALIDATION OF AN IMPROVED HPTLC. DENSITOMETRIC METHOD FOR QUALTITATIVE ANALYSIS OF FLUCONAZOLE,2009,KAALE
BPH000239,SCREENING FOR IN VITRO ANTIMICROBIAL ACTIVITY OF OCIMUM GRAVEOLENS CRUDE EXTRACT,2009,MWAMBETE
BPH000240,POLARIMETRIC ASSESSMENT OF QUALITY OF DEXTROSE 5% INFUSION AND ORAL REHYDRATION SALTS,2009,KAALE; RISHA
BPH000241,HUMAN RESOURCES FOR HEALTH: WHERE ARE THE PHARMACEUTICAL PERSONNEL IN TANZANIA?,2009,TEMU; KARIN WIEDMEYER
BPH000242,DEVELOPMENT AND VALIDATION OF A HIGH PERFORMANCE THIN LAYER CHROMATOGRAPY-DENSITOMETRIC METHOD FOR ASSAY OF RIFAMPICIN/ISONIAZID/PYRAZINAMIDE AND ETHAMBUTOL IN FIXED DOSE COMBINATION.,2009,KAALE; RISHA
BPH000243,ASSESSMENT OF AWARENESS ON PHARMACY PROFESSION AMONG HIGH SCHOOL STUDENTS MAJORING ON PCB IN ILALA DISTRICT.,2009,MWAMBETE
BPH000244,CHEMICAL PROFILES AND MOSQUITO LARVICIDAL ACTIVITIES OF THE ETHANOL EXTRACTS OF THREE KOTSCHYA SPECIES.,2009,E. INNOCENT
BPH000245,FACTORS INFLUENCING MANAGEMENT OF ANAEMIA IN PREGNANCY WOMEN AT ANTINETAL CLINICS IN ILALA MUNICIPALITY,2009,MWAMBETE
BPH000246,ASSESSING EMERGENCY MEDICAL CARE IN DSM: A CASE STUDY IN ILALA DISTRICT.,2009,TEMU
BPH000247,DISPOSAL OF EXPIRED DRUGS BY PHARMACIES AND PART II SHOPS IN DSM.,2009,KAGASHE
BPH000248,LARVICIDAL AND CYTOTOXIC ACTIVITIES OF THREE ANNONA SPECIES GROWING IN TANZANIA,2009,MAGADULA; E. INNOCENT
BPH000249,IN VITRO EVALUATION OF ANTIBIOTIC RESISTANCE AMONG BACTERIA CLINICAL ISOLATES USING DISK DIFFUSION METHOD,2009,MWAMBETE
BPH000250,ANTIBIOTIC RESISTANCE IN BACTERIA HOSPITAL ISOLATES IN DSM.,2009,MWAMBETE
BPH000251,HEALTH WORKERS KNOWLEDGE ON QUININE USE AS THE SECOND LINE DRUG IN THE TREATMENT OF MALARIA IN KILWA DISTRICT,2009,KALALA
BPH000252,IRRATIONAL USE OF ERECTILE DYSFUNTION MEDICINES,2009,MALELE
BPH000253,BRINE SHRIMP LETHALITY TEST OF SOME MEDICINAL PLANTS USED BY TRADITIONAL HEALERS IN TANZANIA,2009,MOSHI; E. INNOCENT
BPH000254,MICROBIOLOGICAL ASSESSMENT OF COMMONLY AVAILABLE ANTIMICROBIAL AGENTS IN ILALA MUNICIPALITY DSM.,2009,MWAMBETE
BPH000255,AVAILABILITY AND USE OF BANNED COSMETICS IN DSM.,2009,KAGASHE
BPH000256,MICROBIAL QUALITY OF EXTEMPORANEOUS AND INDUSTRIALLY MANUFACTURED JUICE BEVERAGES IN DSM,2009,MWAMBETE
BPH000257,OPTIMIZATION OF PARACETAMOL FORMULATION PREPARED VIA FLUIDIZED BED GRANULATION,2009,RISHA; KAALE
BPH000258,Survey of medication errors in Pediatrics at MNH,2009,
BPH000259,Challenges encountered during implememtation of IPT of Malaria in Pregnant women in Kinondoni Municipal,2009,
BPH000260,Assessment of knowledge on Menstrual Cycle and use of Contraceptives among secondary school girls in Dar es Salaam region,2009,
BPH000261,Influence of stock out duration on prescribing pattern,2009,
BPH000262,"Development and validation of a HPTLC Densintometric Method for Assay of Rifampicin, Isoniazid and Ethambutol",2009,
BPH000263,IN VITRO SCREENING OF SELECTED TANZANIAN TRADITIONAL MEDICINAL PLANTS FOR ANTIFUNGAL ACTIVITY.,2009,NGASSAPA; RUNYORO
BPH000264,IMPLICATIONS OF HIV-1 INFECTION OF PREGNANCY OUTCOMES UNDER CURRENT ARV TREATMENT & PROPHYLAXIS GUIDELINES,2009,MWAMBETE
BPH000265,Irrational use of Erectile Dysfunction drugs.,2009,
BPH000266,"ASSESSMENT OF KNOWLEDGE, ATTITUDE AND PRACTICE OF WOMEN WITH UNDER FIVES TOWARDS MALARIA TRANSMISSION, TREATMENT AND PREVENTION IN ILALA, DSM.",2009,HAULE
BPH000267,Assessment of content uniformity and dissolution profile of locally manufactured paracetamol tablet,2009,
BPH000268,Development of a Screening Method for counterfeited toothpaste.,2009,
BPH000269,Implications of HIV-1 on pregnancy outcomes under current ARV Treatment & Prophylaxis guidelines,2009,
BPH000270,Knowledge of barbers on the risk of spreading HIV through using the same haircutting machines,2009,
BPH000271,SCREENING FOR ANTIMICROBIAL ACTIVITY OF TANZANIAN HONEY.,2010,NGASSAPA; RUNYORO
BPH000272,ASSESSMENT OF THE KNOWLEDGE OF DRUG DISPENSERS AND PREGNANT WOMEN ON THE USE OF ARTEMETHER LUMEFANTRINE DURING PREGNANCY,2010,KAMUHABWA
BPH000273,BACTERIOLOGICAL PROFILE OF GROUND BLACK PEPPER AND PAPRIKA SOLD IN RETAIL OUTLETS OF ILALA DISTRICT IN DSM.,2010,MLOKA
BPH000274,DRUG USE IN PREGNANCY; KNOWLEDGE OF DISPENSERS AND PREGNANT WOMEN.,2010,KAMUHABWA
BPH000275,PREVALENCE AND MANAGEMENT OF NOSOCOMIAL INFECTION AT MNH,2010,MWAMBETE
BPH000276,"IN VITRO ANTIMICROBIAL, ANTIOXIDANT AND CYTOTOXICTITY STUDIES OF COMMIPHORA UGOGENSIS",2010,RAMADHANI NONDO
BPH000277,HARNESING THE HIGH THROUGHPUT POTENTIAL OF THE HIGH PERFORMANCE THIN LAYER CHROMATOGRAPHY IN DISSOLUTION TESTING.,2010,KAALE
BPH000278,PREVALENCE AND EFFECTIVENESS OF HOME TREATMENT OF MALARIA IN KINONDONI DISTRICT DSM.,2010,MUNG’ONG’O
BPH000279,ASSESSING THE PREPAREDNESS OF SOME HEALTH CARE DELIVERY SYSTEM IN DSM FOR PREVENTION AND TREATMENT OF 2009 INFLUENZA A HINI FLU,2010,KAMUHABWA
BPH000280,ASSESSMENT OF KNOWLEDGE OF PRESCRIBING AND DISPENSING PRACTICES OF ANTIMALARIAL DRUGS FOR PARDIATRICS IN DSM,2010,KAMUHABWA
BPH000281,ILALA DISTRICT PHARMACISTS FIRST AID AND BASIC LIFE SUPPORT KNOWLEDGE.,2010,MLOKA
BPH000282,EVALUATION OF MICROBIOLOGICAL QUALITY OF TANZANIAN HONEY,2010,NGASSAPA; RUNYORO
BPH000283,"Acceptability of using Alu in the management of uncomplicated malaria in children under five years old in Kinondoni District, Dar es Salaam.",2010,
BPH000284,WHAT TANZANIAN DOCTORS EXPECT FROM THEIR PHARMACISTS A CASE STUDY OF THE SELECTED PUBLIC HOSPITALS DSM.,2010,MLOKA
BPH000285,Development of a generic omeprazole 20mg uncoated tablet formulation,2010,
BPH000286,Prevalence of medically important fungi on cockroaches captured within Muhimbili National Hospital,2010,
BPH000287,"Studies of antimicrobial, antioxidant and cytotoxic properties of Teclea amaniensis",2010,
BPH000288,Knowledge and practice of dispensers towards asthma management in Ilala,2010,
BPH000289,Assessment of labeling of herbal medicine (Sold in retail outlets of Ilala District,2010,
BPH000290,"Drug use in pregnancy, knowledge of dispenses and pregnant women",2010,
BPH000291,"KNOWLEDGE AND PRACTICE OF PHARMACEUTICAL DISPENSERS REGARDING ORAL HEALTH IN ILALA DISTRICT, DSM.",2010,MLOKA
BPH000292,Availability of antimalaria medicines in the Central Business areas of Dar es Salaam,2010,
BPH000293,Problem encountered in the implementation of intermittent preventive treatment (IPT) of malaria,2010,
BPH000294,DETERMINATION OF ADHERENCE LEVEL TO ANTIRETROVIRAL THERAPY IN HIV PATIENT,2010,MINZI; NGAIMISI
BPH000295,Assessment of young children's care giver's knowledge on malaria in high and low income areas in Kinondoni District,2010,
BPH000296,Investigation for cytotoxic compounds from four Tanzania Garcinia plants species,2010,
BPH000297,Dissolution release of a new saquinavir tablets (500mg) generic formulations,2010,
BPH000298,UNDEGRADUATE UNIVERSITY STUDENTS KNOWLEDGE AND PRACTICE ON EMERGENCY CONTRACEPTIVE PILLS,2010,MLOKA
BPH000299,Factors hindering provision of proper pharmaceutical services in community pharmacies in Ilala District,2010,
BPH000300,Ethnopharmacological study of plants used in treatment of eye disease/condition in Arumeru District - Arusha,2010,
BPH000301,Tapping the high throughputness potential of HPTLC to simplify dosage content uniformity testing,2010,
BPH000302,Assessment on the knowledge of drug dispensers and pregnant women on the use of artemethes lumefantrine during pregnancy.,2010,
BPH000303,Ethnopharmacological survey of plants used in management of labour pain and abortion in Njombe District,2010,
BPH000304,Prevalence and management of Nosocomial infections at MNH,2010,
BPH000305,MYCOLOGICAL PRODICE OF PAPRIKA AND BLACK PEPPER SOLD AT RETAIL OUTLETS OF ILALA DISTRICT DSM.,2010,MLOKA
BPH000306,"STUDIES OF ANTIMICROBIAL, ANTIOXIDANT AND CYTOTOXICITY PROPERTIES OF TECLEA AMANIENSIS",2010,P ERASTO
BPH000307,Comparative evaluation of quality parameters of co-trimoxazole tablets dispensed in care and treatment clinics and private pharmacies in Dar es Salaam,2010,
BPH000308,Antimicrobial activity of Spilanthes mauritiana,2010,
BPH000309,Influence of household income in purchasing medicine in Kinondoni District,2010,
BPH000310,Search for antioxidant compounds from some garcinia plants growing in Tanzania,2010,
BPH000311,HOUSEHOLD SURVEY ON ACCESS TO AND USE OF MEDICINES FOR ACUTE ILLNESS,2011,MUNG’ONG’O
BPH000312,BACTERIOLOGICAL PROFILE OF COCKROACHES CAPTURES FROM SELECTED AREAS OF MNH.,2011,MLOKA
BPH000313,CONTENT OF ASCORBIC ACID IN FRUITS AND COMMERCIAL FRUIT JUICE ON THE TANZANIAN MARKET.,2011,MUNG’ONG’O
BPH000314,BIOFILM FORMING ABILITY AND ANTIBIOTIC RESISTANCE PATTERN,2011,MLOKA
BPH000315,ASSESSMENT OF THE MOISTURE PERMEABILITY AND CLOSURE SYSTEMS OF PLASTIC BOTTLE(S) USED AS PRIMARY MEDICINE PACKAGING CONTAINERS,2011,KAALE
BPH000316,ANTIBIOTIC PRESCRIBING PATTERNS IN DENTISTRY AT MNH,2011,MLOKA
BPH000317,ADHERENCE TO DRUGS STORAGE CONDITIONS IN PRIVATE PHARMACIES IN DSM.,2011,MUNG’ONG’O
BPH000318,ASSESSMENT OF CHILDREN ADHERENCE TO ANTIRETROVIRAL THERAPY AT FOUR HIV CARE AND TREATMENT CENTRES (CTC),2011,KAGASHE
BPH000319,EVALUATION OF LARVICIDAL ACTIVITY OF VITEX FISCHERI CRUDE EXTRACTS ON CULEX QUINQUEFASCIATUS.,2011,E. INNOCENT
BPH000320,ASSESSMENT OF HOSPITAL PHARMACISTSï¾’ WORKTIME DISTRIBUTION ON PATIENT CARE AND STORE MANAGEMENT IN THE HOSPITAL,2011,MUGOYELA
BPH000321,DEVELOPMENT OF A GENERIC FORMULATION OF PADIATRIC 20MG ZINC TABLES VIA DIRECT COMPRESSION TECHNIQUE.,2011,KAALE
BPH000322,ASSESSMENT OF CHEMOTHERAPEUTIC MANAGEMENT OF ACUTE POSTOPERATIVE PAIN (APOP) BY HEALTH CARE PROVIDERS AT MNH.,2011,MWAMBETE
BPH000323,SELF-MEDICATION WITH EYE MEDICINES IN PATIENTS ATTENDING EYE CLINICS AT FOUR HEALTH FACILITIES IN DSM REGION.,2011,KAGASHE
BPH000324,SURVEY OF HEALTH INSURANCE SCHEMES IN DSM.,2011,MUGOYELA
BPH000325,ASSESSMENT OF ANTI-RETROVIRAL REGIMEN CHANGES DUR TO STOCK-OUT AT CARE AND TREATMENT CLINICS LOCATED IN KINONDONI DSM.,2011,MORI
BPH000326,KNOWLEDGE OF A-LEVEL SECONDARY SCHOOL STUDENTS TAKING PCB ON THE PROFESSION OF PHARMACY,2011,KALALA
BPH000327,ASSESSMENT OF THE UNIVERSITY STUDENTS PERCEPTION ON TRADITIONAL MEDICINE UTILIZATION IN DSM.,2011,MALELE
BPH000328,'--not specified--,2011,MUNG’ONG’O
BPH000329,"ASSESSMENT OF PREVALENCE OF ANTICANCER DRUG INDUCED HEMATOLOGICAL COMPLICATIONS AND THEIR PHARMACOLOGICAL MANAGEMENT AT OCEAN ROAD CANCER INSTITUTE, DSM, TANZANIA.",2011,KAMUHABWA
BPH000330,"PUBLIC KNOWLEDGE, ATTITUDE AND PERCEPTION OF THE COUNTERFEIT MEDICINES: STUDY IN DSM. REGION, TANZANIA.",2011,TEMU
BPH000331,MICROBIOLOGICAL QUALITY OF BOTTLED DRINKING WATER AVAILABLE IN DSM MARKET,2011,MWAMBETE
BPH000332,"DEVELOPMENT OF SIMPLE, ENVIRONMENTAL FRIENDLY AND COST-EFFECTIVE ON-SIDE DISPOSAL METHOD FOR DIAZEPAM",2011,KAALE
BPH000333,ASSESSMENT OF ANTIBACTERIAL ACTIVITIES OF DIFFERENT BRANDS OF CIPROFLOXACIN TABLETS.,2011,MWAMBETE; MALELE
BPH000334,SCREENING FOR ANTIMICROBIAL ACTIVITY OF THE PLANT INDIGOFERA ARRECTA,2011,NGASSAPA; RUNYORO
BPH000335,SCRRNING FOR ANTIMICROBIAL ACTIVITY OF THE PLANT INDIGOFERA ZENKERI.,2011,NGASSAPA; RUNYORO
BPH000336,"ASSESSMENT ON USES FOR DRUGS WITH GABAERGIC EFFECTIN DSM, TANZANIA.",2011,NGAIMISI
BPH000337,Choice and Availability of anti malarias in Pharmacies located in the peripheral area of Kinondoni district in Dar es salaam,2011,
BPH000338,ASSESSING THE SIDE EFFECTS OF SKIN BLEACHING AGENTS AND FACTORS THAT MOTIVATE WOMEN TO USE THEM IN ILALA DISTRICT ï¾– DSM.,2011,KALALA
BPH000339,"Availability, cost, and Affordability of Antidiabetic medicines in Public and Private Health facilities in Dar es Salaam Tanzania.",2011,
BPH000340,Client satisfaction with National Health Insurance Fund services in District Hospital in Dar es Salaam.,2011,
BPH000341,Prevalence of erectile dysfunction among diabetics attending Amana and Mwananyamala Hospitals,2011,
BPH000342,STUDIES OF THE ANTIMICROBIAL AND ANTIOXIDANT PROPERTIES OF HALLEA RUBROSTIPULATA,2011,P ERASTO
BPH000343,Investigation of Abortifacient Activity on The leaves of Manihot Esculenta (Cassava),2011,
BPH000344,"Public knowledge, Attitude and perception counterfeit medicine in Tanzania; case study in Dar es Salaam region.",2011,
BPH000345,Development of Generic formulation of paediatric 20mg Zinc tablets,2011,
BPH000346,ASSESSMENT OF KNOWLEDGE AND PERCEPTION ON ART AMONG DSM SECONDARY SCHOOL STUDENTS,2012,MWAMBETE
BPH000347,ASSESSMENT OF THE EFFECTIVE IMPLEMENTATION OF CO-TRIMOXAZOLE PROPHYLAXIS IN CHILDREN BORN TO HIV-INFECTED MOTHERS IN DAR ES SALAAM,2012,KAMUHABWA
BPH000348,ASSESSMENT OF ANTIMALARIAL USES IN CHILDREN LESS THAN 2 YEARS.,2012,NGAIMISI
BPH000349,MEDICINAL PLANTS USED FOR THE TREATMENT OF MALARIA AND ANAEMIA IN TANZANIA AND DETERMINATION OF FOLIC ACID AND IRON CONTENT.,2012,MAREGESI
BPH000350,DRUG PRESCRIBING PATTERNS AND PREVALENCE OF POSSIBLE DRUG-DRUG INTERACTION AT THE MNH HIV CLINIC,2012,MLOKA
BPH000351,EVALUATION OF THE SUITABILITY OF LOCALLY AVAILABLE COMMON SALT FOR PHARMACEUTICAL USE.,2012,CHAMBUSO
BPH000352,ADHERENCE TO DRUGS STORAGE CONDITIONS IN HOSPITAL PHARMACIES IN DAR ES SALAAM.,2012,MUNG’ONG’O
BPH000353,KNOWLEDGE OF HEALTH WORKERS AND PREGNANT WOMEN ON THE USE OF NON-STEROIDAL ANTI-INFLAMMATORY DRUGS DURING PREGNANCY IN DSM.,2012,KAMUHABWA
BPH000354,INVESTIGATION OF INVIVO ANTIMALARIAL ACTIVITY OF LANTANA CAMARA L FLOWERS,2012,MUGOYELA; P. ERASTO
BPH000355,RATE AND MAGNITUDE OF ACCIDENTAL NEEDLESTICK INJURIES AT TWO HOSPITALS IN DAR ES SALAAM.,2012,KALALA
BPH000356,ADHERENCE TO DOSAGE REGIMEN OF ARTEMETHER AND LUMEFANTRINE (ALU) FOR TREATMENT OF UNCOMPLICATED PLASMODIUM FALCIPARUM MALARIA IN TWO MUNICIPAL HOSPITALS IN DAR ES SALAAM.,2012,MALELE
BPH000357,SCREENING FOR LARVICIDAL ACTIVITY OF ESSENTIAL OILS FROM SPICES,2012,RUNYORO; NGASSAPA
BPH000358,DEVELOPMENT AND VALIDATION OF AN HPTLC- DENSITOMETRIC METHOD FOR ANALYIS OF PREDNISOLONE TAMBETS,2012,DR.KAALE
BPH000359,KNOWLEDGE AND USE OF NUTRITIONAL SUPPLEMENTS AMONG UNIVERSITY STUDENTS,2012,MLOKA
BPH000360,ADULTERATION PRACTICES OF ANIMAL FEEDS WITH HUMAN MEDICINES BY ANIMAL KEEPERS IN DSM REGION,2012,MINZI
BPH000361,USE OF COMPLEMENTARY AND ALTERNATIVE MEDICINE BY STROKE PATIENTS IN DAR ES SALAAM.,2012,NGASSAPA
BPH000362,BRINE SHRIMP LETHALITY OF ZANTHOXYLUM LINDENSE AND ZANTHOXYLUM HOLTZIANUM,2012,RUNYORO; NGASSAPA
BPH000363,"ESSENTIAL METALS ANALYSIS, ANTIFUNGAL, LARVICIDAL AND CYTOTOXICITY ACTIVITY OF BOERHAVIA COCCINEA AND ASPARAGUS FLAGELLARIS LEAVES",2012,MAREGESI
BPH000364,AWARENESS AMONG MEDICAL DOCTORS ABOUT REPORTING OF ADVERSE DRUG REACTIONS IN HIV AND AIDS PATIENTS IN PUBLIC HOSPITALS IN DAR ES SALAAM.,2012,MUGOYELA
BPH000365,PRESCRIBING PATTERN IN ELDERLY PATIENTS ADMITTED IN INTERNAL MEDICINE WARD AT MNH.,2012,KAGASHE
BPH000366,CHALLENGES IN THE USE OF COTRIMOXAZOLE FOR PROPHYLAXIS AND TREATMENT OF OPPORTUNISTIC INFECTIONS IN HIV INFECTED CHILDREN.,2012,KAMUHABWA
BPH000367,COMPARISON OF PRESCRIBING PRACTICE IN PAEDIATRICS WITH PNEUMONIA IN SELECTED PUBLIC AND PRIVATE HOSP.,2012,KALALA
BPH000368,"Assessment of knowledge, skills and competence of ADDO dispensers with TFDA regulation compliance in Kibaha Coast region",2012,
BPH000369,"EXPLORING AVAILABILITY, AWARENESS, KNOWLEDGE AND ATTITUDE ABOUT EMERGENCY CONTRACEPTIVE PILLS IN DSM.",2012,KAGASHE
BPH000370,CYTOTOXICITY AND ISOLATION OF COMPOIUNDS FROM FOUR GARCINIA PLANT SPECIES GROWING IN TANZANIA,2012,MAGADULA; E. INNOCENT
BPH000371,"Assessment of Knowledge, attitudes and practice of complementary and alternative medicine (CAM) Among Medical students at MUHAS",2012,
BPH000372,THE INFLUENCE OF STOCK OUT DURATION ON PRESCRIBING PATTERN,2012,MALELE
BPH000373,DEVELOPMENT AND VALIDATION OF HPTLC DENSITOMETRIC METHOD FOR ANALYSIS OF MEBENDAZOLE TABLETS FOR MUHAS PHARM R & D LABORATORY,2012,KAALE
BPH000374,"DETECTION OF COUNTERFEIT CIALIS TABLETS BY PHYSICAL INSPECTION, NEAR INFRARED SPECTROSCOPY AND THIN LAYER CHROMATOGRAPHY TECHNOLOGY",2012,KAALE; KAGASHE
BPH000375,Awareness of prostate cancer among people in a community,2012,
BPH000376,Natural drugs used for treatment of Snake bites at Ukerewe district Tanzania.,2012,
BPH000377,ASSESSMENT OF AVAILABILITY AND USE OF MOSQUITO REPELLENTS IN DAR ES SALAAM REGION.,2012,KAGASHE
BPH000378,Patient's instruction delivered by Pharmaceutical Dispensers at a Public hospital in Dar es Salaam.,2012,
BPH000379,"ASSESSMENT OF KNOWLEDGE, ATTITUDE AND PRACTICE OF COMPLEMENTARY AND ALTERNATIVE MEDICINE AMONG MD, DDS AND BSCN STUDENTS AT MUHAS",2012,RUNYORO; NGASSAPA
BPH000380,ANTIMICROBIAL ACTIVITY AND PHYTOCHEMICAL ANALYSIS OF BOERHAVIA COCCINEA,2012,MAREGESI
BPH000381,"Causes, Magnitude and management of asthma in children under-five in municipal district hospitals in Dar es Salaam",2012,
BPH000382,CONTENT OF ASCORBIC ACID IN VITAMIN C TABLETS AVAILABLE ON DAR ES SALAAM MARKETS.,2012,MUNG’ONG’O; SEMPOMBE
BPH000383,Lifestyle drugs: Prevalence of use and the received effects among University students.,2012,
BPH000384,ASSESSMENT OF KNOWLEDGE OF DRIVERS ON THE CONTENTS AND USE OF FIRST AID KITS,2012,KAGASHE
BPH000385,ASSESSMENT OF QUALITY OF SELECTED CO-TRIMOXAZOLE PAEDIATRIC ORAL SUSPENSION BRANDS MARKETED IN TANZANIA,2012,WANNDE
BPH000386,KNOWLEDGE OF HIV/AIDS AND OTHER STTs BY FIRST YEAR UNDERGRADUATE STUDENTS AT MUHAS AND DIT,2012,MUGOYELA
BPH000387,PRE-FORMULATION STUDIES FOR OMEPRAZOLE TABLETS,2013,KAALE
BPH000388,ESTIMATION OF TRANS-RESVARATROL IN GRAPE BERRY SKIN EXTRACT BY HIGH-PERFORMANCE THIN-LAYER CHROMATOGHAPY (HPTLC).,2013,MALELE
BPH000389,QUANTIFICATION OF ESSENTIAL METALS AND VITAMINS IN TAMARINDUS INDICA AND RUMEX USAMBARENSIS LEAVES,2013,MAREGESI
BPH000390,ASSESSMENT OF PRESCRIPTION PATTERN AMONG PREGNANT WOMEN DIAGNOSED WITH UTIs IN DAR ES SALAAM.,2013,TEMU
BPH000391,"COMPARISON OF SEVERITY OF ANEMIA IN PREGNANT WOMEN WHO ARE UNDER ARVï¾’S AND PREGNANT WOMEN WHO ARE HIV NEGATIVE IN TEMEKE, AMANA AND MWANANYAMALA",2013,TEMU
BPH000392,ANTIMICROBIAL ACTIVITY AND METAL ANALYSIS OF TRICHODESMA ZEYLANICUM,2013,MAREGESI
BPH000393,TRADITIONAL BEAUTY METHODS AND PHYTOCHEMICAL SCREENING,2013,MAREGESI
BPH000394,FACTORS ASSOCIATED WITH PREGNANCIES AMONG HIV INFECTED WOMEN ATTENDING MUNICIPAL AND NATIONAL HOSPITAL IN DSM.,2013,NGAIMISI
