project_id,title,completion_year,supervisors
BPH000043,INVESTIGATION OF THE ANTIMALARIAL ACTIVITY OF CRAITERISPERMUM SCHWEINFURTH.,2005,HAULE
BPH000044,The specificity of HIV proteins (Western Blot),2005,Mr. Kabati
BPH000045,"Knowledge and use of the female condom as a means for sexual protection against HIV among Barmaids, Temeke Municipality in Dar es Salaam",2005,Prof. TEMU
BPH000046,"Survey on the cases, magnitude and management of burns in under fives in District Hospitals in DSM.",2005,Prof. TEMU
BPH000047,Bioassay guided fractionation and biological activity acrue enduchii chloroform extract,2005,Kamuhabwa
BPH000048,Screening of selected Tanzanian medicinal plants for antifungal activity.,2005,Dr. NGASSAPA
BPH000049,Assessment of driversï¾’ awareness /knowledge on drugs which affect/impair driving performance,2005,Dr. KAGASHE
BPH000050,Brine shrimp lethality of traditionally used Tanzanian plants,2005,Dr. MOSHI
BPH000051,"Antibiotic sensitivity of bacterial pathogens in urinary tract infections at Muhimbili National Hospital, MNH Dar es Salaam",2005,Dr. RIMOY
BPH000052,Problems and collaboration between pharmacists and Traditional healers in Dar es Salaam.,2005,Dr. MWAMBETE
BPH000053,"QUALITY ASSESSMENT OF CHLORINE BASED DISINFECTANTS AND ANTISEPTICS CIRCULATING IN DSM, TANZANIA.",2005,MUNG’ONG’O
BPH000054,The effect of extracts of diospyros fischeri on picrotoxin induced convulsions.,2005,
BPH000055,Awareness of Secondary School students on various gender perspective programmes conducted by UDSM,2005,Dr. MALELE
BPH000056,A study of prescribing patterns in Dar es Salaam Public District Hospitals,2005,Dr. RISHA
BPH000057,Knowledge and attitude among Secondary Schools student concerning prevention and management of obesity.,2005,Dr.Damian
BPH000058,NON-COMPLIANCE WITH PRESCRIPTION WRITING REQUIREMENTS AND PRESCRIBING ERRORS IN AN OUTPATIENT DEPT. OF A PRIVATE HOSPITAL.,2005,MUGOYELA
BPH000059,Prevalence and General knowledge on helminthic infections among mother of under-fives at Amana and Mwananyamala Hospitals.,2005,Dr. MWAMBETE
BPH000060,Assessment of knowledge and dispensing practice of dispensers on nutritional supplements in Dar es Salaam Pharmacies,2005,Dr. KAGASHE
BPH000061,The study of microbial contamination of traditional alcoholic beverage in Dar es Salaam.,2005,Dr. MWAMBETE
BPH000062,Evacuation of cytotoxicity of plants used in Tanzanian Traditional Medicine.,2005,Dr. MOSHI
BPH000063,Composition and effects of skin lightening concoctions prepared in Households on skins of black women in Dar es Salaam.,2005,Mr.Kalala
BPH000064,Assessment of patient satisfaction with pharmaceutical services in Hospital Pharmacies in Dar es Salaam,2005,Dr.Damian
BPH000065,The Role of Pharmacists in bringing effective cancer chemotherapy.,2005,Dr.Damian
BPH000066,Comparative dissolution properties of albendazole commercial samples circulating in Tanzania market.,2005,Dr.Damian
BPH000067,Drugs prescription during pregnancy in five Dar es Salaam,2005,Dr.Damian
BPH000068,Assessment of microbial contamination in extemporaneous preparations in Hospitals Pharmacies,2005,Dr. Mwambete
BPH000069,The Microbial sensitivity of isolated of candida albicans and salmonella typhii,2005,Dr. MWAMBETE
BPH000070,Evaluation of the constituents of Vepris goluUsed in the treatment of HIV/AIDS related opportunistic infections.,2005,Malele; Mbwambo
BPH000071,Microbiological determination of efficacy of watergurd in treating drinking water in Dar es Salaam city,2005,Dr. MWAMBETE
BPH000072,"Assessment of knowledge, attitude and uses of ITNS at Household level in Ilala ï¾– DSM",2005,Prof. TEMU
BPH000073,Historical background of modern Pharmaceutical services in mainland Tanzania.,2005,Mr. MSHIU
BPH000074,Assessment of knowledge on sexual transmitted infections (STTs) among secondary school students.,2005,Dr. MWAMBETE
BPH000075,"ASSESSMENT OF KNOWLEDGE ON FACTORS CONTRIBUTING TO UNWANTED PREGNANCIES AMONG ADOLESCENTS, IN SECONDARY SCHOOL GIRLS, KINONDONI DISTRICT ï¾– DSM.",2006,HAULE
BPH000076,INVESTIGATION OF SOME BIOLOGICAL ACTIVITIES OF THE EXTRACTS OF DIOSPYROS FISCHERI ROOTS,2006,MOSHI; MBWAMBO
BPH000077,THE IMPACT OF ARTESUNATE ON THE DISPOSITION KINETICS OF SULPHADOXINE ï¾– PYRIMETHAMINE IN HEALTHY VOLUNTEERS.,2006,MINZI
BPH000078,"EVALUATION FO THE ACCEPTABILITY, RATIONAL USE AND EFFECTIVENESS OF MORPHINE FOR PALLIATIVE CARE AT OCEAN ROAD CANCER INSTITUTE",2006,KAMUHABWA
BPH000079,EVALUATION OF AWARENESS OF OCCUPATIONAL HEALTH RISKS AMONG THE HAIR DRESSERS IN DAR ES SALAAM.,2006,KAMUHABWA
BPH000080,SCREENING OF DIOSPYROS WHYTEANA ROOT EXTRACTS FOR PHARMACOLOGICAL ACTIVITIES.,2006,MOSHI; MBWAMBO
BPH000081,"KNOWLEDGE AND PRACTICE ON PREVENTION OF MOTHER TO CHILD TRANSMISSION OF HIV AMONG NURSES AT AMANA HOSPITAL, ILALA MUNICIPAL.",2006,MWAMBETE
BPH000082,TRADITIONAL METHODS USED BY MOTHERS OF UNDER FIVES IN MANAGEMENT OF DIARRHOEA IN TEMEKE MUNICIPALITY. DSM.,2006,MWAMBETE
BPH000083,ASSESSMENT OF PRESCRIBING PATTERNS IN HEALTH INSURANCE SCHEMES. A CASE STUDY OF PRIVATE HEALTH INSURANCE IN DAR ES SALAAM (MEDEX AND AAR),2006,RISHA
BPH000084,DETERMINATION OF ANTHRAQUINONES IN TANZANIAN CASIA ALATA,2006,NGASSAPA
BPH000085,ASSESSMENT OF SIDE EFFECTS ASSCIATED WITH THE USE OF CONTRACEPTIVES AMONG WOMEN OF ILALA MUNICIPALITY.,2006,KALALA
BPH000086,ANTIMICROBIAL AND BRINESHRIMP LETHALITY OF THE EXTRACTS OF TERMINALIA KAISERANA ROOT.,2006,MOSHI; MBWAMBO
